Close,Open,High,Low,Date,Daily return,Target,Running_Max,Drawdown,Max_Drawdown,Cumulative_Max
263.62,257.75,268.94,257.65,10/10/2023,1.521161474,1,293.34,-10.13158792,-28.23469007,293.34
262.99,266.2,268.6,260.9,11/10/2023,-0.238980351,0,293.34,-10.34635576,-28.23469007,293.34
258.87,262.92,265.41,256.63,12/10/2023,-1.56659949,0,293.34,-11.7508693,-28.23469007,293.34
251.12,258.9,259.6,250.22,13/10/2023,-2.993780662,0,293.34,-14.39285471,-28.23469007,293.34
253.92,250.05,255.4,248.48,16/10/2023,1.115004779,1,293.34,-13.43833095,-28.23469007,293.34
254.85,250.1,257.18,247.08,17/10/2023,0.366257089,1,293.34,-13.1212927,-28.23469007,293.34
242.68,252.7,254.63,242.08,18/10/2023,-4.775358054,0,293.34,-17.27006204,-28.23469007,293.34
220.11,225.95,230.61,216.78,19/10/2023,-9.30031317,0,293.34,-24.96420536,-28.23469007,293.34
211.99,217.01,218.86,210.42,20/10/2023,-3.689064559,0,293.34,-27.73232427,-28.23469007,293.34
212.08,210,216.98,202.51,23/10/2023,0.042454833,1,293.34,-27.70164314,-28.23469007,293.34
216.52,216.5,222.05,214.11,24/10/2023,2.093549604,1,293.34,-26.18804118,-28.23469007,293.34
212.42,215.88,220.1,212.2,25/10/2023,-1.893589507,0,293.34,-27.58573669,-28.23469007,293.34
205.76,211.32,214.8,204.88,26/10/2023,-3.135297995,0,293.34,-29.85613963,-29.85613963,293.34
207.3,210.6,212.41,205.77,27/10/2023,0.74844479,0,293.34,-29.33115156,-29.85613963,293.34
197.36,209.28,210.88,194.67,30/10/2023,-4.794983116,0,293.34,-32.71971092,-32.71971092,293.34
200.84,196.12,202.8,194.07,31/10/2023,1.763275233,1,293.34,-31.53337424,-32.71971092,293.34
205.66,204.04,205.99,197.85,01/11/2023,2.399920335,1,293.34,-29.89022977,-32.71971092,293.34
218.51,212.97,219.2,211.45,02/11/2023,6.248176602,1,293.34,-25.50964751,-32.71971092,293.34
219.96,221.15,226.37,218.4,03/11/2023,0.663585191,0,293.34,-25.01534056,-32.71971092,293.34
219.27,223.98,226.32,215,06/11/2023,-0.313693399,0,293.34,-25.25056249,-32.71971092,293.34
222.18,219.98,223.12,215.72,07/11/2023,1.327130934,1,293.34,-24.25853958,-32.71971092,293.34
222.11,223.15,224.15,217.64,08/11/2023,-0.031505986,0,293.34,-24.28240267,-32.71971092,293.34
209.98,219.75,220.8,206.68,09/11/2023,-5.461257935,0,293.34,-28.41753597,-32.71971092,293.34
214.65,210.03,215.38,205.69,10/11/2023,2.224021335,1,293.34,-26.82552669,-32.71971092,293.34
223.71,215.6,225.4,211.61,13/11/2023,4.220824598,1,293.34,-23.73696052,-32.71971092,293.34
237.41,235.03,238.14,230.72,14/11/2023,6.123999821,1,293.34,-19.06661212,-32.71971092,293.34
242.84,239.29,246.7,236.45,15/11/2023,2.287182511,1,293.34,-17.21551783,-32.71971092,293.34
233.59,239.49,240.88,230.96,16/11/2023,-3.809092407,0,293.34,-20.36885525,-32.71971092,293.34
234.3,232,237.39,226.54,17/11/2023,0.303951368,1,293.34,-20.1268153,-32.71971092,293.34
235.6,234.04,237.1,231.02,20/11/2023,0.554844217,1,293.34,-19.68364355,-32.71971092,293.34
241.2,235.04,243.62,233.34,21/11/2023,2.376910017,1,293.34,-17.77459603,-32.71971092,293.34
234.21,242.04,244.01,231.4,22/11/2023,-2.89800995,0,293.34,-20.15749642,-32.71971092,293.34
235.45,233.75,238.75,232.33,24/11/2023,0.529439392,1,293.34,-19.73477876,-32.71971092,293.34
236.08,236.89,238.33,232.1,27/11/2023,0.267572733,0,293.34,-19.52001091,-32.71971092,293.34
246.72,236.68,247,234.01,28/11/2023,4.506946798,1,293.34,-15.89282062,-32.71971092,293.34
244.14,249.21,252.75,242.76,29/11/2023,-1.045719844,0,293.34,-16.77234608,-32.71971092,293.34
240.08,245.14,245.22,236.91,30/11/2023,-1.662980257,0,293.34,-18.15640554,-32.71971092,293.34
238.83,233.14,240.19,231.9,01/12/2023,-0.52065978,1,293.34,-18.58253222,-32.71971092,293.34
235.58,235.75,239.37,233.29,04/12/2023,-1.360800569,0,293.34,-19.69046158,-32.71971092,293.34
238.72,233.87,246.66,233.7,05/12/2023,1.33288055,1,293.34,-18.62003136,-32.71971092,293.34
239.37,242.92,246.57,239.17,06/12/2023,0.272285523,0,293.34,-18.39844549,-32.71971092,293.34
242.64,241.55,244.08,236.98,07/12/2023,1.366085976,1,293.34,-17.2836981,-32.71971092,293.34
243.84,240.27,245.27,239.27,08/12/2023,0.494559842,1,293.34,-16.87461649,-32.71971092,293.34
239.74,242.74,243.44,237.45,11/12/2023,-1.681430446,0,293.34,-18.27231199,-32.71971092,293.34
237.01,238.55,238.99,233.87,12/12/2023,-1.138733628,0,293.34,-19.20297266,-32.71971092,293.34
239.29,234.19,240.3,228.2,13/12/2023,0.961984726,1,293.34,-18.4257176,-32.71971092,293.34
251.05,241.22,253.88,240.79,14/12/2023,4.914538844,1,293.34,-14.4167178,-32.71971092,293.34
253.5,251.21,254.13,248.3,15/12/2023,0.975901215,1,293.34,-13.58150951,-32.71971092,293.34
252.08,253.78,258.74,251.36,18/12/2023,-0.560157791,0,293.34,-14.06558942,-32.71971092,293.34
257.22,253.48,258.34,253.01,19/12/2023,2.039035227,1,293.34,-12.31335651,-32.71971092,293.34
247.14,256.41,259.84,247,20/12/2023,-3.918824353,0,293.34,-15.74964205,-32.71971092,293.34
254.5,251.9,254.8,248.55,21/12/2023,2.978069111,1,293.34,-13.24060817,-32.71971092,293.34
252.54,256.76,258.22,251.37,22/12/2023,-0.770137525,0,293.34,-13.9087748,-32.71971092,293.34
256.61,254.49,257.97,252.91,26/12/2023,1.611625881,1,293.34,-12.52130633,-32.71971092,293.34
261.44,258.35,263.34,257.52,27/12/2023,1.88223374,1,293.34,-10.87475285,-32.71971092,293.34
253.18,263.66,265.13,252.71,28/12/2023,-3.159424725,0,293.34,-13.69059794,-32.71971092,293.34
248.48,255.1,255.19,247.43,29/12/2023,-1.85638676,0,293.34,-15.29283425,-32.71971092,293.34
248.42,250.08,251.25,244.41,02/01/2024,-0.024146813,0,293.34,-15.31328833,-32.71971092,293.34
238.45,244.98,245.68,236.32,03/01/2024,-4.013364463,0,293.34,-18.71207473,-32.71971092,293.34
237.93,239.25,242.7,237.73,04/01/2024,-0.218075068,0,293.34,-18.88934342,-32.71971092,293.34
237.49,236.86,240.12,234.9,05/01/2024,-0.18492834,1,293.34,-19.03934001,-32.71971092,293.34
240.45,236.14,241.25,235.3,08/01/2024,1.246368268,1,293.34,-18.03027204,-32.71971092,293.34
234.96,238.11,238.96,232.04,09/01/2024,-2.283218964,0,293.34,-19.90182041,-32.71971092,293.34
233.94,235.1,235.5,231.29,10/01/2024,-0.434116445,0,293.34,-20.24953978,-32.71971092,293.34
227.22,230.57,230.93,225.37,11/01/2024,-2.872531418,0,293.34,-22.54039681,-32.71971092,293.34
218.89,220.08,225.34,217.15,12/01/2024,-3.666050524,0,293.34,-25.380105,-32.71971092,293.34
219.91,215.1,223.49,212.18,16/01/2024,0.465987482,1,293.34,-25.03238563,-32.71971092,293.34
215.55,214.86,215.67,212.01,17/01/2024,-1.982629257,1,293.34,-26.51871548,-32.71971092,293.34
211.88,216.88,217.45,208.74,18/01/2024,-1.702621202,0,293.34,-27.76982341,-32.71971092,293.34
212.19,209.99,213.19,207.56,19/01/2024,0.146309232,1,293.34,-27.664144,-32.71971092,293.34
208.8,212.26,217.8,206.27,22/01/2024,-1.59762477,0,293.34,-28.81979955,-32.71971092,293.34
209.14,211.3,215.65,207.75,23/01/2024,0.162835249,0,293.34,-28.70389309,-32.71971092,293.34
207.83,211.88,212.73,206.77,24/01/2024,-0.626374677,0,293.34,-29.15047385,-32.71971092,293.34
182.63,189.7,193,180.06,25/01/2024,-12.12529471,0,293.34,-37.7411877,-37.7411877,293.34
183.25,185.5,186.78,182.1,26/01/2024,0.339484203,0,293.34,-37.52982887,-37.7411877,293.34
190.93,185.63,191.48,183.67,29/01/2024,4.190995907,1,293.34,-34.91170655,-37.7411877,293.34
191.59,195.33,196.36,190.61,30/01/2024,0.345676426,0,293.34,-34.68671167,-37.7411877,293.34
187.29,187,193.97,185.85,31/01/2024,-2.244376011,1,293.34,-36.15258744,-37.7411877,293.34
188.86,188.5,189.88,184.28,01/02/2024,0.838272198,1,293.34,-35.61737233,-37.7411877,293.34
187.91,185.04,188.69,182,02/02/2024,-0.503018109,1,293.34,-35.94122861,-37.7411877,293.34
181.06,184.26,184.68,175.01,05/02/2024,-3.645362141,0,293.34,-38.27640281,-38.27640281,293.34
185.1,177.21,186.49,177.11,06/02/2024,2.23130454,1,293.34,-36.89916138,-38.27640281,293.34
187.58,188.18,189.79,182.68,07/02/2024,1.339816316,0,293.34,-36.05372605,-38.27640281,293.34
189.56,189,191.62,185.58,08/02/2024,1.055549632,1,293.34,-35.37874139,-38.27640281,293.34
193.57,190.18,194.12,189.48,09/02/2024,2.115425195,1,293.34,-34.01172701,-38.27640281,293.34
188.13,192.11,194.73,187.28,12/02/2024,-2.810352844,0,293.34,-35.86623031,-38.27640281,293.34
184.02,183.99,187.26,182.11,13/02/2024,-2.184659544,1,293.34,-37.26733483,-38.27640281,293.34
188.71,185.3,188.89,183.35,14/02/2024,2.548636018,1,293.34,-35.66850753,-38.27640281,293.34
200.45,189.16,200.88,188.86,15/02/2024,6.221185947,1,293.34,-31.66632577,-38.27640281,293.34
199.95,202.06,203.17,197.4,16/02/2024,-0.249438763,0,293.34,-31.83677644,-38.27640281,293.34
193.76,196.13,198.6,189.13,20/02/2024,-3.095773943,0,293.34,-33.94695575,-38.27640281,293.34
194.77,193.36,199.44,191.95,21/02/2024,0.521263419,1,293.34,-33.60264539,-38.27640281,293.34
197.41,194,198.32,191.36,22/02/2024,1.355444884,1,293.34,-32.70266585,-38.27640281,293.34
191.97,195.31,197.57,191.5,23/02/2024,-2.755686135,0,293.34,-34.55716916,-38.27640281,293.34
199.4,192.29,201.78,192,26/02/2024,3.870396416,1,293.34,-32.02427218,-38.27640281,293.34
199.73,204.04,205.6,198.26,27/02/2024,0.165496489,0,293.34,-31.91177473,-38.27640281,293.34
202.04,200.42,205.3,198.44,28/02/2024,1.156561358,1,293.34,-31.12429263,-38.27640281,293.34
201.88,204.18,205.28,198.45,29/02/2024,-0.079192239,0,293.34,-31.17883684,-38.27640281,293.34
202.64,200.52,204.52,198.5,01/03/2024,0.376461264,1,293.34,-30.91975182,-38.27640281,293.34
188.14,198.73,199.75,186.72,04/03/2024,-7.155546782,0,293.34,-35.8628213,-38.27640281,293.34
180.74,183.05,184.59,177.57,05/03/2024,-3.933241203,0,293.34,-38.38549124,-38.38549124,293.34
176.54,179.99,181.58,173.7,06/03/2024,-2.323780015,0,293.34,-39.81727688,-39.81727688,293.34
178.65,174.35,180.04,173.7,07/03/2024,1.195196556,1,293.34,-39.09797505,-39.81727688,293.34
175.34,181.5,182.73,174.7,08/03/2024,-1.852784775,0,293.34,-40.22635849,-40.22635849,293.34
177.77,175.45,182.87,174.8,11/03/2024,1.385878864,1,293.34,-39.39796823,-40.22635849,293.34
177.54,177.77,179.43,172.41,12/03/2024,-0.12938066,0,293.34,-39.47637554,-40.22635849,293.34
169.48,173.05,176.05,169.15,13/03/2024,-4.539822012,0,293.34,-42.22404036,-42.22404036,293.34
162.5,167.77,171.17,160.51,14/03/2024,-4.118480057,0,293.34,-44.60353174,-44.60353174,293.34
163.57,163.16,165.18,160.76,15/03/2024,0.658461538,1,293.34,-44.2387673,-44.60353174,293.34
173.8,170.02,174.72,165.9,18/03/2024,6.254203093,1,293.34,-40.75134656,-44.60353174,293.34
171.32,172.36,172.82,167.42,19/03/2024,-1.426927503,0,293.34,-41.59678189,-44.60353174,293.34
175.66,173,176.25,170.82,20/03/2024,2.533271072,1,293.34,-40.11727006,-44.60353174,293.34
172.82,176.39,178.18,171.8,21/03/2024,-1.616759649,0,293.34,-41.08542988,-44.60353174,293.34
